ENTITY NAME,ENTITY ID,EXCHANGE,INDUSTRY CLASSIFICATION(GICS),DIVIDEND YIELD 2019(%),DIVIDEND YIELD 2020(%),DIVIDEND YIELD 2021(%),DIVIDEND YIELD 2022(%),DIVIDEND YIELD 2023(%),MARKET CAP(HK$M),CURRENT ROE(%),ROE 2019(%),ROE 2020(%),ROE 2021(%),ROE 2022(%),ROE 2023(%),DIVIDEND PAYOUT RATIO 2019(%),DIVIDEND PAYOUT RATIO 2020(%),DIVIDEND PAYOUT RATIO 2021(%),DIVIDEND PAYOUT RATIO 2022(%),DIVIDEND PAYOUT RATIO 2023(%),DAY CLOSE PRICE 1/2/2019(HK$),DAY CLOSE PRICE 12/31/2019(HK$),PRICE CHANGE IN 2019(%),DAY CLOSE PRICE 1/2/2020(HK$),DAY CLOSE PRICE 12/31/2020(HK$),PRICE CHANGE IN 2020(%),DAY CLOSE PRICE 1/4/2021(HK$),DAY CLOSE PRICE 12/31/2021(HK$),PRICE CHANGE IN 2021(%),DAY CLOSE PRICE 1/3/2022(HK$),DAY CLOSE PRICE 12/30/2022(HK$),PRICE CHANGE IN 2022(%),DAY CLOSE PRICE 1/3/2023(HK$),DAY CLOSE PRICE 12/29/2023(HK$),PRICE CHANGE IN 2023(%),,,,DIVIDEND YIELD (%),PRICE CHANGE (%),,DIVIDEND PAYOUT RATIO (%),PRICE CHANGE (%)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.03,-51.49,,99.52,-51.49
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.73,-11.64,,21.75,-11.64
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.76,18.53,,103.39,18.53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.69,-1.18,,52.56,-1.18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.29,23.53,,47.69,23.53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.27,-43.62,,27.58,-43.62
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.74,-31.07,,18.36,-31.07
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,-5.65,,29.20,-5.65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.16,-6.85,,64.40,-6.85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.14,13.71,,68.53,13.71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.66,-35.64,,34.52,-35.64
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.96,6.05,,25.28,6.05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.68,-0.38,,71.20,-0.38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.62,-1.64,,38.13,-1.64
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.14,-17.56,,87.27,-17.56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.44,-28.59,,736.78,-28.59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.33,-12.62,,78.98,-12.62
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.01,23.36,,54.61,23.36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.45,-27.78,,147.98,-27.78
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.94,5.44,,88.34,5.44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.44,-10.14,,18.83,-10.14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.81,-56.41,,44.32,-56.41
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.02,-0.94,,49.20,-0.94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.09,-7.60,,31.24,-7.60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.78,-19.55,,NA,-19.55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.44,-3.19,,34.42,-3.19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.76,5.45,,32.78,5.45
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.07,-16.67,,36.37,-16.67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.86,-23.39,,29.76,-23.39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.03,-4.60,,26.50,-4.60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.96,-31.61,,16.22,-31.61
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.63,-39.42,,84.00,-39.42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.29,-1.75,,73.82,-1.75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.51,-27.32,,45.30,-27.32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.89,-10.43,,28.37,-10.43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.80,-19.10,,28.40,-19.10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.38,-53.61,,34.92,-53.61
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.68,8.94,,34.95,8.94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.20,68.44,,27.95,68.44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.84,-46.48,,36.60,-46.48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.59,-15.66,,29.50,-15.66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89,-32.83,,647.14,-32.83
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.39,-29.77,,18.78,-29.77
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.84,-21.82,,NM,-21.82
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.71,-4.04,,47.12,-4.04
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.09,-27.45,,79.32,-27.45
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.67,-19.29,,84.06,-19.29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.06,-32.82,,41.05,-32.82
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50,-3.36,,37.58,-3.36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.64,-17.50,,40.13,-17.50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.01,-21.35,,33.35,-21.35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.38,-11.46,,44.19,-11.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,-12.35,,43.00,-12.35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.11,-3.30,,91.76,-3.30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,-10.05,,74.12,-10.05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.52,41.43,,38.19,41.43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.61,-18.05,,NA,-18.05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.03,2.60,,84.51,2.60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.20,-33.03,,95.80,-33.03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.67,-9.20,,113.47,-9.20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.26,-25.82,,95.90,-25.82
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.07,-10.28,,NM,-10.28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.54,-9.05,,29.66,-9.05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.53,-11.32,,91.36,-11.32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.10,-9.29,,41.17,-9.29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.29,-23.65,,80.63,-23.65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.46,-41.14,,37.03,-41.14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.75,-9.97,,47.93,-9.97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,-28.07,,39.39,-28.07
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.94,-17.27,,71.05,-17.27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.83,17.65,,33.75,17.65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.03,-35.37,,91.00,-35.37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.73,-35.97,,245.13,-35.97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.23,-28.67,,80.58,-28.67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.53,-24.83,,34.41,-24.83
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.09,-36.76,,67.35,-36.76
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.61,-27.52,,71.63,-27.52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.93,-29.17,,23.59,-29.17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,-20.76,,29.40,-20.76
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.65,-4.23,,75.67,-4.23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.26,-16.53,,NA,-16.53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,-25.19,,22.37,-25.19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.39,-32.69,,26.82,-32.69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.06,-37.44,,191.14,-37.44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.74,9.18,,44.28,9.18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.12,-32.67,,51.05,-32.67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.28,-15.61,,62.82,-15.61
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.29,1.69,,52.23,1.69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.98,-36.77,,41.02,-36.77
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.86,-5.43,,67.64,-5.43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.48,-1.90,,87.13,-1.90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.77,-7.61,,43.40,-7.61
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.36,-27.75,,412.00,-27.75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.45,-47.21,,41.10,-47.21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.18,9.67,,48.01,9.67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.04,-9.76,,135.02,-9.76
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.40,-29.85,,40.03,-29.85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.17,-12.00,,102.04,-12.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.74,24.31,,27.30,24.31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.58,-11.34,,791.86,-11.34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.71,2.59,,NA,2.59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.41,14.53,,34.97,14.53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.98,-12.45,,28.81,-12.45
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.60,-13.20,,106.55,-13.20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.95,-13.50,,40.62,-13.50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.02,-12.80,,46.86,-12.80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.87,2.95,,28.00,2.95
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35,29.36,,27.23,29.36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.16,78.34,,39.66,78.34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.48,-11.25,,51.48,-11.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.23,-29.13,,70.31,-29.13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.95,-15.05,,45.11,-15.05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.79,-11.91,,130.40,-11.91
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63,-6.81,,54.20,-6.81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.21,-19.76,,64.02,-19.76
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.86,-36.47,,45.22,-36.47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.06,21.79,,95.22,21.79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.88,7.33,,88.13,7.33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.08,-12.08,,266.03,-12.08
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.48,-18.68,,49.84,-18.68
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.84,1.04,,74.97,1.04
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,-24.00,,28.81,-24.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.57,-10.68,,64.09,-10.68
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.78,-4.22,,114.34,-4.22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.40,14.02,,27.45,14.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.89,0.00,,51.00,0.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.25,-8.57,,86.60,-8.57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.89,-41.45,,80.95,-41.45
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.02,7.21,,34.57,7.21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.76,-18.21,,NM,-18.21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.63,12.96,,56.12,12.96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.93,-42.03,,92.97,-42.03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20,-62.86,,43.97,-62.86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,53.01,,89.02,53.01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.84,-1.78,,73.53,-1.78
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.24,-44.73,,42.74,-44.73
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,-26.40,,6.88,-26.40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.39,-16.28,,61.21,-16.28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.72,-39.58,,121.86,-39.58
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.06,7.22,,17.24,7.22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.74,-2.55,,NA,-2.55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.05,-7.91,,19.18,-7.91
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23,5.76,,85.03,5.76
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.85,0.12,,15.70,0.12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.02,-12.78,,77.92,-12.78
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.31,-38.39,,35.16,-38.39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.53,-19.71,,63.37,-19.71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.83,-43.43,,12.68,-43.43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,25.57,,26.13,25.57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.62,-7.71,,0.17,-7.71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67,8.82,,40.73,8.82
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.27,3.44,,147.88,3.44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.00,,NM,0.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,-36.62,,47.74,-36.62
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.59,-18.41,,133.00,-18.41
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.12,-32.91,,89.59,-32.91
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.19,-7.91,,22.70,-7.91
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.95,16.97,,NM,16.97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.05,-10.07,,28.27,-10.07
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.83,-40.46,,88.25,-40.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.98,-24.82,,71.25,-24.82
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.31,-34.55,,46.57,-34.55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.05,-32.95,,59.71,-32.95
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.37,4.67,,31.69,4.67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.88,46.37,,56.30,46.37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,-19.77,,30.26,-19.77
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.85,38.36,,45.75,38.36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.31,-12.52,,31.52,-12.52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.09,-32.80,,25.92,-32.80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.77,-17.99,,25.31,-17.99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.20,14.01,,42.94,14.01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.01,12.31,,31.90,12.31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.29,-22.93,,63.14,-22.93
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,-35.73,,NA,-35.73
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.09,-34.99,,85.05,-34.99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.88,19.57,,69.02,19.57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.03,-27.30,,39.29,-27.30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.37,33.63,,144.74,33.63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.69,-7.71,,NA,-7.71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.16,7.04,,NA,7.04
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.45,4.20,,32.13,4.20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.92,-3.65,,37.33,-3.65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.37,6.33,,32.66,6.33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.23,-39.43,,28.09,-39.43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.48,5.03,,NA,5.03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.02,-13.86,,NA,-13.86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.60,-10.36,,NA,-10.36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.72,4.84,,NA,4.84
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.81,-10.83,,26.36,-10.83
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.78,-20.90,,51.82,-20.90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.27,-5.39,,80.51,-5.39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,6.35,,13.23,6.35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.50,42.97,,NA,42.97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.57,-10.77,,NA,-10.77
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70,-3.48,,13.68,-3.48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.74,7.37,,103.98,7.37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.43,-21.47,,NA,-21.47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.09,3.68,,NA,3.68
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.97,-29.09,,59.28,-29.09
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.78,5.14,,31.23,5.14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.41,10.25,,44.90,10.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.11,-9.61,,117.83,-9.61
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.57,7.64,,35.71,7.64
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.17,-61.79,,NA,-61.79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.07,-5.68,,30.53,-5.68
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,-24.05,,32.71,-24.05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.24,33.65,,22.70,33.65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.92,-50.95,,88.19,-50.95
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.66,-15.22,,107.22,-15.22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.06,-27.84,,NA,-27.84
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.52,5.38,,NA,5.38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.94,6.99,,33.09,6.99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.13,-32.84,,69.69,-32.84
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.44,-15.03,,NA,-15.03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.27,-25.92,,26.32,-25.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.20,10.73,,45.23,10.73
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.17,-42.52,,75.82,-42.52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.45,11.08,,56.66,11.08
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.11,-42.31,,NA,-42.31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.71,-8.12,,NA,-8.12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.16,23.43,,69.18,23.43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.88,-48.85,,84.40,-48.85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.31,30.87,,37.99,30.87
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.24,-17.48,,31.64,-17.48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.78,-26.15,,NA,-26.15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.45,-34.48,,31.66,-34.48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.30,-33.41,,NA,-33.41
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.20,7.07,,69.90,7.07
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.38,-20.50,,57.92,-20.50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.36,-10.78,,31.56,-10.78
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.90,-37.76,,NA,-37.76
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.94,-59.81,,NA,-59.81
